Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BMU,Bermuda,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
BOL,Bolivia,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BOL,Bolivia,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BOL,Bolivia,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BOL,Bolivia,28154,SIDS,Yes/No,,,,,,,,,,,,0,
BOL,Bolivia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
BOL,Bolivia,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
BRA,Brazil,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BRA,Brazil,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BRA,Brazil,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BRA,Brazil,28154,SIDS,Yes/No,,,,,,,,,,,,0,
BRA,Brazil,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,Brazil,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
BRA,Brazil,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
BRB,Barbados,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BRB,Barbados,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BRB,Barbados,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BRB,Barbados,28154,SIDS,Yes/No,,,,,,,,,,,,1,
BRB,Barbados,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BRB,Barbados,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
BRB,Barbados,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
BRN,Brunei Darussalam,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BRN,Brunei Darussalam,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BRN,Brunei Darussalam,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BRN,Brunei Darussalam,28154,SIDS,Yes/No,,,,,,,,,,,,0,
BRN,Brunei Darussalam,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,Brunei Darussalam,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
BRN,Brunei Darussalam,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
BTN,Bhutan,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BTN,Bhutan,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BTN,Bhutan,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BTN,Bhutan,28154,SIDS,Yes/No,,,,,,,,,,,,0,
BTN,Bhutan,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,Bhutan,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
BTN,Bhutan,28167,Landlocked,Yes/No,,,,,,,,,,,,1,
BWA,Botswana,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
BWA,Botswana,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
BWA,Botswana,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
BWA,Botswana,28154,SIDS,Yes/No,,,,,,,,,,,,0,
BWA,Botswana,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,Botswana,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
BWA,Botswana,28167,Landlocked,Yes/No,,,,,,,,,,,,1,
CAF,Central African Republic,28150,FCV Typology - FCV,Value,,,,,,,,,,,,1,1
CAF,Central African Republic,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
CAF,Central African Republic,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
CAF,Central African Republic,28154,SIDS,Yes/No,,,,,,,,,,,,0,
CAF,Central African Republic,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1
CAF,Central African Republic,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
CAF,Central African Republic,28167,Landlocked,Yes/No,,,,,,,,,,,,1,
CAN,Canada,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
CAN,Canada,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
CAN,Canada,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
CAN,Canada,28154,SIDS,Yes/No,,,,,,,,,,,,0,
CAN,Canada,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,Canada,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
CAN,Canada,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
CHE,Switzerland,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
CHE,Switzerland,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
CHE,Switzerland,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
CHE,Switzerland,28154,SIDS,Yes/No,,,,,,,,,,,,0,
CHE,Switzerland,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Switzerland,28167,Landlocked,Yes/No,,,,,,,,,,,,1,
CHI,Channel Islands,28150,FCV Typology - FCV,Value,,,,,,,,,,,,,0
CHI,Channel Islands,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,,0
CHI,Channel Islands,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,,1
CHI,Channel Islands,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,Chile,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
CHL,Chile,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
CHL,Chile,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
CHL,Chile,28154,SIDS,Yes/No,,,,,,,,,,,,0,
CHL,Chile,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,Chile,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
CHL,Chile,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
CHN,China,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
CHN,China,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
CHN,China,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
CHN,China,28154,SIDS,Yes/No,,,,,,,,,,,,0,
CHN,China,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
CHN,China,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
CIV,Cote d'Ivoire,28150,FCV Typology - FCV,Value,,,,,,,,,,,,1,1
CIV,Cote d'Ivoire,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
CIV,Cote d'Ivoire,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
CIV,Cote d'Ivoire,28154,SIDS,Yes/No,,,,,,,,,,,,0,
CIV,Cote d'Ivoire,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1
CIV,Cote d'Ivoire,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
CIV,Cote d'Ivoire,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
CMR,Cameroon,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
CMR,Cameroon,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,1,1
CMR,Cameroon,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
CMR,Cameroon,28154,SIDS,Yes/No,,,,,,,,,,,,0,
CMR,Cameroon,28156,Is this country on the FCV list?,Value,0,0,0,1,1,0,0,0,0,0,0,0,0
CMR,Cameroon,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
CMR,Cameroon,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
COD,"Congo, Dem. Rep.",28150,FCV Typology - FCV,Value,,,,,,,,,,,,1,1
COD,"Congo, Dem. Rep.",28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
COD,"Congo, Dem. Rep.",28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
COD,"Congo, Dem. Rep.",28154,SIDS,Yes/No,,,,,,,,,,,,0,
COD,"Congo, Dem. Rep.",28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1
COD,"Congo, Dem. Rep.",28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
COD,"Congo, Dem. Rep.",28167,Landlocked,Yes/No,,,,,,,,,,,,0,
COG,"Congo, Rep.",28150,FCV Typology - FCV,Value,,,,,,,,,,,,1,1
COG,"Congo, Rep.",28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
COG,"Congo, Rep.",28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
COG,"Congo, Rep.",28154,SIDS,Yes/No,,,,,,,,,,,,0,
COG,"Congo, Rep.",28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,0,0,0,1
COG,"Congo, Rep.",28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
COG,"Congo, Rep.",28167,Landlocked,Yes/No,,,,,,,,,,,,0,
COL,Colombia,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
COL,Colombia,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
COL,Colombia,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
COL,Colombia,28154,SIDS,Yes/No,,,,,,,,,,,,0,
COL,Colombia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,Colombia,28157,Is the country resource rich?,Value,,,,,,,,,,,,1,
COL,Colombia,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
COM,Comoros,28150,FCV Typology - FCV,Value,,,,,,,,,,,,1,1
COM,Comoros,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
COM,Comoros,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,0,0
COM,Comoros,28154,SIDS,Yes/No,,,,,,,,,,,,1,
COM,Comoros,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,0
COM,Comoros,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
COM,Comoros,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
CPV,Cabo Verde,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
CPV,Cabo Verde,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
CPV,Cabo Verde,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
CPV,Cabo Verde,28154,SIDS,Yes/No,,,,,,,,,,,,1,
CPV,Cabo Verde,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,Cabo Verde,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
CPV,Cabo Verde,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
CRI,Costa Rica,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
CRI,Costa Rica,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
CRI,Costa Rica,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
CRI,Costa Rica,28154,SIDS,Yes/No,,,,,,,,,,,,0,
CRI,Costa Rica,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,Costa Rica,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
CRI,Costa Rica,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
CUB,Cuba,28150,FCV Typology - FCV,Value,,,,,,,,,,,,0,0
CUB,Cuba,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,0,0
CUB,Cuba,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,1,1
CUB,Cuba,28154,SIDS,Yes/No,,,,,,,,,,,,1,
CUB,Cuba,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CUB,Cuba,28157,Is the country resource rich?,Value,,,,,,,,,,,,0,
CUB,Cuba,28167,Landlocked,Yes/No,,,,,,,,,,,,0,
CUW,Curacao,28150,FCV Typology - FCV,Value,,,,,,,,,,,,,0
CUW,Curacao,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,,0
CUW,Curacao,28152,FCS Typology - Non-FCS,Value,,,,,,,,,,,,,1
CUW,Curacao,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,0
CYM,Cayman Islands,28150,FCV Typology - FCV,Value,,,,,,,,,,,,,0
CYM,Cayman Islands,28151,FCS Typology - Past-FCS,Value,,,,,,,,,,,,,0
