Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Senegal,SEN,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26,26,26,26,26,26
Seychelles,SYC,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.6,43.6,43.6,43.6,43.6,43.6
Sierra Leone,SLE,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,133.7,133.7,133.7,72,72,72
Somalia,SOM,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.5,72.5,72.5,72.5,72.5
South Africa,ZAF,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68,68,68,68,68,68
South Sudan,SSD,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,192,192,192,192,192,192
Sudan,SDN,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,190,190,190,190,190,190
Tanzania,TZA,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,120,96,96,96,96,96
Togo,TGO,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,15,11,11,11,11
Uganda,UGA,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.8,63.8,63.8,51,24,24
Zambia,ZMB,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,130,130,96,96,96
Zimbabwe,ZWE,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99,99,99,99,99,99
East Asia & Pacific,EAS,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.3931034483,53.3931034483,51.7103448276,50.524137931,50.0896551724,48.4344827586
East Asia & Pacific (IDA & IBRD countries),TEA,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.4714285714,63.4714285714,61.3857142857,61.3857142857,60.7857142857,58.5
Euro area,EMU,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.1578947368,2.1578947368,2.1578947368,2.1578947368,2.1578947368,2.1578947368
European Union,EUU,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.825,1.825,1.825,1.825,1.825,1.825
Latin America & Caribbean,LCN,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.5818181818,55.3090909091,53.9242424242,51.5606060606,51.5606060606,35.3125
Latin America & Caribbean (IDA & IBRD countries),TLA,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.6,58.6,57.0766666667,54.4766666667,54.4766666667,36.8379310345
Sub-Saharan Africa,SSF,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.9565217391,82.9255319149,82.4574468085,78.8382978723,72.8234042553,71.8659574468
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Time to export, documentary compliance (hours)",IC.EXP.TMDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.9565217391,82.9255319149,82.4574468085,78.8382978723,72.8234042553,71.8659574468
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/27/2020,,,,,,,,,,,,,,,,,,,,,,,
