"country","project_code_in","component_code_in","section_code_in","cost_type","year","work_type","duration","length_km","cost_M_USD_per_km","rocks_wave","ccode","wb_region","inc_group","proj.component.section","project_country","project_idx","section_idx","section_code"
"Cambodia","P071207","C1","S1","Actual","2012","Upgrading",NA,19.8,0.0813131313131313,"rocks_2018","KHM","East Asia & Pacific","Lower middle income","P071207 C1 S1","Cambodia P071207",1757,2025,"17572025"
"Cambodia","P071207","C1","S1","Estimate","2003","Upgrading",12,21.8,0.081651376146789,"rocks_2018","KHM","East Asia & Pacific","Lower middle income","P071207 C1 S1","Cambodia P071207",1757,2025,"17572025"
"Cameroon","AfDB loan number: B/CAM/RTE/89/16","C1","S1","Actual","1998","Upgrading",44,15.8,0.257768036553194,"rocks_2018","CMR","Sub-Saharan Africa","Lower middle income","AfDB loan number: B/CAM/RTE/89/16 C1 S1","Cameroon AfDB loan number: B/CAM/RTE/89/16",1765,5,"1765005"
"Cameroon","AfDB loan number: B/CAM/RTE/89/16","C1","S1","Estimate","1988","Upgrading",22,15.8,0.500268600590921,"rocks_2018","CMR","Sub-Saharan Africa","Lower middle income","AfDB loan number: B/CAM/RTE/89/16 C1 S1","Cameroon AfDB loan number: B/CAM/RTE/89/16",1765,5,"1765005"
"Cape Verde","P087004","C1","S1","Estimate","2005","Upgrading",NA,3,0.206666666666667,"rocks_2018","CPV","Sub-Saharan Africa","Lower middle income","P087004 C1 S1","Cape Verde P087004",1811,2222,"18112222"
"Cape Verde","P087004","C1","S1","Actual","2014","Upgrading",NA,3,0.25,"rocks_2018","CPV","Sub-Saharan Africa","Lower middle income","P087004 C1 S1","Cape Verde P087004",1811,2222,"18112222"
"Chad","P035672","C1","S1","Actual","2009","Strengthening",NA,104,0.375,"rocks_2018","TCD","Sub-Saharan Africa","Low income","P035672 C1 S1","Chad P035672",1818,1806,"18181806"
"Chad","P035672","C1","S1","Estimate","2000","Strengthening",NA,104,0.341730769230769,"rocks_2018","TCD","Sub-Saharan Africa","Low income","P035672 C1 S1","Chad P035672",1818,1806,"18181806"
"China","P076714","C1","S1","Estimate","2003","New 4L Expressway",NA,57.02,3.02769598705012,"rocks_2018","CHN","East Asia & Pacific","Upper middle income","P076714 C1 S1","China P076714",1952,2082,"19522082"
"China","P076714","C1","S1","Actual","2009","New 4L Expressway",NA,65.09,3.63951523816443,"rocks_2018","CHN","East Asia & Pacific","Upper middle income","P076714 C1 S1","China P076714",1952,2082,"19522082"
"China","P070519","C1","S1","Estimate","2005","New 6L Expressway",NA,11.6,13.6698275862069,"rocks_2018","CHN","East Asia & Pacific","Upper middle income","P070519 C1 S1","China P070519",1950,2022,"19502022"
"China","P070519","C1","S1","Actual","2013","New 6L Expressway",39,11.6,28.125,"rocks_2018","CHN","East Asia & Pacific","Upper middle income","P070519 C1 S1","China P070519",1950,2022,"19502022"
"China","Project number: 42017-013","C1","S1","Actual","2016","New 4L Expressway",NA,206.26,0.417110116019201,"rocks_2018","CHN","East Asia & Pacific","Upper middle income","Project number: 42017-013 C1 S1","China Project number: 42017-013",1959,2735,"19592735"
"China","Project number: 42017-013","C1","S1","Estimate","2010","New 4L Expressway",NA,206.26,0.335775313915222,"rocks_2018","CHN","East Asia & Pacific","Upper middle income","Project number: 42017-013 C1 S1","China Project number: 42017-013",1959,2735,"19592735"
"China","P058845","C1","S1","Actual","2007","New 4L Expressway",25,128,2.1171875,"rocks_2018","CHN","East Asia & Pacific","Upper middle income","P058845 C1 S1","China P058845",1944,1890,"19441890"
"China","P058845","C1","S1","Estimate","2001","New 4L Expressway",NA,130,3.05384615384615,"rocks_2018","CHN","East Asia & Pacific","Upper middle income","P058845 C1 S1","China P058845",1944,1890,"19441890"
"Ethiopia","P091077","C1","S1","Actual","2015","Upgrading",62.9333333333333,99,0.844242424242424,"rocks_2018","ETH","Sub-Saharan Africa","Low income","P091077 C1 S1","Ethiopia P091077",2219,2256,"22192256"
"Ethiopia","P091077","C1","S1","Estimate","2007","Upgrading",36.5,99,0.522727272727273,"rocks_2018","ETH","Sub-Saharan Africa","Low income","P091077 C1 S1","Ethiopia P091077",2219,2256,"22192256"
"Ethiopia","P044613","C1","S1","Actual","2010","Upgrading",51,127,0.391496062992126,"rocks_2018","ETH","Sub-Saharan Africa","Low income","P044613 C1 S1","Ethiopia P044613",2217,1835,"22171835"
"Ethiopia","P044613","C1","S1","Estimate","2003","Upgrading",36,127,0.275748031496063,"rocks_2018","ETH","Sub-Saharan Africa","Low income","P044613 C1 S1","Ethiopia P044613",2217,1835,"22171835"
"Ethiopia","P082998","C1","S1","Estimate","2004","Upgrading",49,316,0.196329113924051,"rocks_2018","ETH","Sub-Saharan Africa","Low income","P082998 C1 S1","Ethiopia P082998",2218,2162,"22182162"
"Ethiopia","P082998","C1","S1","Actual","2012","Upgrading",NA,246,0.79890243902439,"rocks_2018","ETH","Sub-Saharan Africa","Low income","P082998 C1 S1","Ethiopia P082998",2218,2162,"22182162"
"Georgia","P094044","C1","S1","Estimate","2007","Widening",20,24,1.74791666666667,"rocks_2018","GEO","Europe & Central Asia","Lower middle income","P094044 C1 S1","Georgia P094044",2257,2273,"22572273"
